cdate,cp
1980-12-12,28.750
1980-12-15,27.250
1980-12-16,25.250
1980-12-17,25.875
1980-12-18,26.625
1980-12-19,28.250
1980-12-22,29.625
1980-12-23,30.875
1980-12-24,32.500
1980-12-26,35.500
1980-12-29,36.000
1980-12-30,35.125
1980-12-31,34.125
1981-01-02,34.500
1981-01-05,33.750
1981-01-06,32.250
1981-01-07,30.875
1981-01-08,30.250
1981-01-09,31.875
1981-01-12,31.625
1981-01-13,30.500
1981-01-14,30.625
1981-01-15,31.250
1981-01-16,31.000
1981-01-19,32.875
1981-01-20,31.875
1981-01-21,32.500
1981-01-22,32.875
1981-01-23,32.750
1981-01-26,32.250
1981-01-27,32.000
1981-01-28,31.000
1981-01-29,29.875
1981-01-30,28.250
1981-02-02,26.625
1981-02-03,27.625
1981-02-04,28.625
1981-02-05,28.625
1981-02-06,28.750
1981-02-09,27.250
1981-02-10,27.250
1981-02-11,26.375
1981-02-12,26.125
1981-02-13,25.500
1981-02-17,26.125
1981-02-18,27.250
1981-02-19,25.625
1981-02-20,24.250
1981-02-23,24.625
1981-02-24,23.750
1981-02-25,25.250
1981-02-26,25.625
1981-02-27,26.500
1981-03-02,26.625
1981-03-03,26.250
1981-03-04,26.000
1981-03-05,25.875
1981-03-06,25.625
1981-03-09,23.625
1981-03-10,22.500
1981-03-11,21.625
1981-03-12,22.500
1981-03-13,22.250
1981-03-16,23.125
1981-03-17,24.250
1981-03-18,25.750
1981-03-19,25.500
1981-03-20,25.750
1981-03-23,26.750
1981-03-24,26.625
1981-03-25,26.125
1981-03-26,25.625
1981-03-27,24.750
1981-03-30,24.750
1981-03-31,24.500
1981-04-01,24.250
1981-04-02,26.375
1981-04-03,26.500
1981-04-06,26.000
1981-04-07,25.750
1981-04-08,27.000
1981-04-09,27.500
1981-04-10,27.875
1981-04-13,27.875
1981-04-14,27.875
1981-04-15,26.500
1981-04-16,25.000
1981-04-20,25.750
1981-04-21,27.500
1981-04-22,28.500
1981-04-23,29.250
1981-04-24,29.000
1981-04-27,28.750
1981-04-28,28.250
1981-04-29,27.875
1981-04-30,28.375
