cdate,cp
1997-05-15,23.500
1997-05-16,20.750
1997-05-19,20.500
1997-05-20,19.625
1997-05-21,17.125
1997-05-22,16.750
1997-05-23,18.000
1997-05-27,19.000
1997-05-28,18.375
1997-05-29,18.062
1997-05-30,18.000
1997-06-02,18.125
1997-06-03,17.750
1997-06-04,17.000
1997-06-05,18.500
1997-06-06,19.875
1997-06-09,20.250
1997-06-10,19.000
1997-06-11,18.500
1997-06-12,19.250
1997-06-13,19.000
1997-06-16,18.875
1997-06-17,18.062
1997-06-18,18.125
1997-06-19,18.125
1997-06-20,18.312
1997-06-23,18.000
1997-06-24,18.125
1997-06-25,18.125
1997-06-26,18.125
1997-06-27,17.875
1997-06-30,18.500
1997-07-01,18.188
1997-07-02,19.062
1997-07-03,22.938
1997-07-07,24.000
1997-07-08,27.625
1997-07-09,27.875
1997-07-10,30.750
1997-07-11,27.500
1997-07-14,25.625
1997-07-15,29.250
1997-07-16,28.000
1997-07-17,26.625
1997-07-18,25.875
1997-07-21,26.188
1997-07-22,25.625
1997-07-23,27.500
1997-07-24,27.125
1997-07-25,26.750
1997-07-28,27.875
1997-07-29,29.750
1997-07-30,29.375
1997-07-31,28.750
1997-08-01,29.000
1997-08-04,27.750
1997-08-05,26.500
1997-08-06,27.000
1997-08-07,26.125
1997-08-08,27.500
1997-08-11,27.938
1997-08-12,26.375
1997-08-13,26.375
1997-08-14,25.875
1997-08-15,25.375
1997-08-18,24.500
1997-08-19,26.000
1997-08-20,26.000
1997-08-21,25.375
1997-08-22,25.500
1997-08-25,26.625
1997-08-26,28.125
1997-08-27,27.812
1997-08-28,28.500
1997-08-29,28.063
1997-09-02,28.250
1997-09-03,28.000
1997-09-04,30.625
1997-09-05,30.000
1997-09-08,36.000
1997-09-09,38.875
1997-09-10,39.625
1997-09-11,37.875
1997-09-12,44.250
1997-09-15,37.125
1997-09-16,40.250
1997-09-17,40.875
1997-09-18,39.500
1997-09-19,47.375
1997-09-22,54.000
1997-09-23,55.500
1997-09-24,52.500
1997-09-25,48.938
1997-09-26,50.000
1997-09-29,48.500
1997-09-30,52.062
1997-10-01,48.250
1997-10-02,48.125
1997-10-03,48.188
1997-10-06,49.500
1997-10-07,48.687
1997-10-08,48.063
1997-10-09,45.000
1997-10-10,46.813
1997-10-13,48.000
1997-10-14,47.750
1997-10-15,47.062
1997-10-16,43.500
1997-10-17,43.500
1997-10-20,45.875
1997-10-21,53.125
1997-10-22,54.250
1997-10-23,54.000
1997-10-24,60.312
1997-10-27,51.250
1997-10-28,59.375
1997-10-29,64.688
1997-10-30,61.500
1997-10-31,61.000
1997-11-03,60.875
1997-11-04,59.500
1997-11-05,58.500
1997-11-06,55.938
1997-11-07,53.750
1997-11-10,50.500
1997-11-11,47.375
1997-11-12,45.250
1997-11-13,46.312
1997-11-14,50.000
1997-11-17,52.500
1997-11-18,53.000
1997-11-19,54.125
1997-11-20,55.000
1997-11-21,53.875
1997-11-24,50.750
1997-11-25,50.438
1997-11-26,51.125
1997-11-28,49.500
1997-12-01,51.250
1997-12-02,50.812
1997-12-03,52.375
1997-12-04,54.000
1997-12-05,55.125
1997-12-08,56.500
1997-12-09,56.250
1997-12-10,54.125
1997-12-11,56.250
1997-12-12,54.500
1997-12-15,55.000
1997-12-16,53.500
1997-12-17,52.688
1997-12-18,51.500
1997-12-19,54.000
1997-12-22,56.375
1997-12-23,55.500
1997-12-24,55.250
1997-12-26,54.250
1997-12-29,57.000
1997-12-30,58.188
1997-12-31,60.250
1998-01-02,59.500
1998-01-05,57.000
1998-01-06,58.062
1998-01-07,57.375
1998-01-08,55.375
1998-01-09,51.125
1998-01-12,51.625
1998-01-13,55.750
1998-01-14,58.500
1998-01-15,59.438
1998-01-16,57.500
1998-01-20,59.438
1998-01-21,60.875
1998-01-22,61.625
1998-01-23,59.250
1998-01-26,57.750
1998-01-27,57.000
1998-01-28,57.250
1998-01-29,59.500
1998-01-30,59.000
1998-02-02,62.375
1998-02-03,61.812
1998-02-04,60.750
1998-02-05,59.250
1998-02-06,58.875
1998-02-09,58.250
1998-02-10,63.625
1998-02-11,63.500
1998-02-12,63.125
1998-02-13,62.250
1998-02-17,61.750
1998-02-18,60.875
1998-02-19,62.750
1998-02-20,63.250
1998-02-23,64.875
1998-02-24,64.875
1998-02-25,65.875
1998-02-26,72.750
1998-02-27,77.000
1998-03-02,76.250
1998-03-03,71.750
1998-03-04,73.437
1998-03-05,75.000
1998-03-06,76.750
1998-03-09,83.500
1998-03-10,83.109
1998-03-11,79.625
1998-03-12,78.500
1998-03-13,78.687
1998-03-16,79.000
1998-03-17,79.875
1998-03-18,85.312
1998-03-19,84.000
1998-03-20,84.000
1998-03-23,83.812
1998-03-24,84.250
1998-03-25,81.687
1998-03-26,82.750
1998-03-27,85.000
1998-03-30,85.875
1998-03-31,85.531
1998-04-01,90.125
1998-04-02,95.062
1998-04-03,93.000
1998-04-06,88.625
1998-04-07,86.000
1998-04-08,88.625
1998-04-09,95.250
1998-04-13,94.312
1998-04-14,97.187
1998-04-15,96.125
1998-04-16,98.500
1998-04-17,94.875
1998-04-20,94.250
1998-04-21,93.063
1998-04-22,87.250
1998-04-23,81.000
1998-04-24,84.875
1998-04-27,82.750
1998-04-28,95.625
1998-04-29,95.500
1998-04-30,91.750
