cdate,cp
1998-01-20,78.812
1998-01-21,77.844
1998-01-22,77.188
1998-01-23,77.000
1998-01-26,77.312
1998-01-27,78.219
1998-01-28,79.125
1998-01-29,79.406
1998-01-30,79.234
1998-02-02,81.016
1998-02-03,81.656
1998-02-04,81.219
1998-02-05,81.234
1998-02-06,82.109
1998-02-09,81.781
1998-02-10,83.156
1998-02-11,83.156
1998-02-12,83.688
1998-02-13,83.641
1998-02-17,84.062
1998-02-18,84.625
1998-02-19,83.828
1998-02-20,84.281
1998-02-23,84.250
1998-02-24,84.000
1998-02-25,84.688
1998-02-26,85.156
1998-02-27,85.594
1998-03-02,85.719
1998-03-03,86.109
1998-03-04,85.531
1998-03-05,84.781
1998-03-06,86.031
1998-03-09,85.875
1998-03-10,86.719
1998-03-11,87.000
1998-03-12,86.891
1998-03-13,86.156
1998-03-16,87.469
1998-03-17,87.766
1998-03-18,87.984
1998-03-19,88.234
1998-03-20,89.156
1998-03-23,88.484
1998-03-24,89.438
1998-03-25,88.875
1998-03-26,88.625
1998-03-27,88.266
1998-03-30,88.156
1998-03-31,88.188
1998-04-01,88.938
1998-04-02,90.156
1998-04-03,90.094
1998-04-06,90.375
1998-04-07,89.891
1998-04-08,89.281
1998-04-09,90.375
1998-04-13,90.344
1998-04-14,91.438
1998-04-15,92.016
1998-04-16,91.062
1998-04-17,91.703
1998-04-20,91.297
1998-04-21,91.906
1998-04-22,91.844
1998-04-23,91.312
1998-04-24,90.547
1998-04-27,89.250
1998-04-28,88.984
1998-04-29,89.422
1998-04-30,90.875
1998-05-01,91.656
1998-05-04,91.812
1998-05-05,91.484
1998-05-06,90.281
1998-05-07,89.734
1998-05-08,90.938
1998-05-11,90.922
1998-05-12,91.922
1998-05-13,92.250
1998-05-14,91.812
1998-05-15,90.797
1998-05-18,90.531
1998-05-19,90.562
1998-05-20,91.781
1998-05-21,91.375
1998-05-22,91.234
1998-05-26,89.656
1998-05-27,89.656
1998-05-28,89.984
1998-05-29,88.844
1998-06-01,89.406
1998-06-02,88.953
1998-06-03,87.844
1998-06-04,88.891
1998-06-05,90.859
1998-06-08,90.922
1998-06-09,90.734
1998-06-10,89.750
1998-06-11,88.125
1998-06-12,88.562
1998-06-15,86.000
1998-06-16,86.797
1998-06-17,88.656
1998-06-18,88.312
1998-06-19,87.078
1998-06-22,87.172
1998-06-23,88.375
1998-06-24,89.297
1998-06-25,89.688
1998-06-26,89.688
1998-06-29,90.125
1998-06-30,89.688
1998-07-01,90.594
1998-07-02,90.297
1998-07-06,91.250
1998-07-07,91.109
1998-07-08,91.953
1998-07-09,90.875
1998-07-10,91.234
1998-07-13,90.984
1998-07-14,92.438
1998-07-15,92.500
1998-07-16,93.266
1998-07-17,93.328
1998-07-20,93.125
1998-07-21,91.750
1998-07-22,91.406
1998-07-23,89.359
1998-07-24,89.438
1998-07-27,90.250
1998-07-28,89.219
1998-07-29,89.016
1998-07-30,90.234
1998-07-31,88.531
1998-08-03,87.812
1998-08-04,84.938
1998-08-05,85.656
1998-08-06,85.656
1998-08-07,86.156
1998-08-10,85.781
1998-08-11,84.375
1998-08-12,85.688
1998-08-13,84.281
1998-08-14,84.312
1998-08-17,85.750
1998-08-18,87.375
1998-08-19,86.969
1998-08-20,86.250
1998-08-21,85.594
1998-08-24,85.625
1998-08-25,85.906
1998-08-26,85.391
1998-08-27,81.047
1998-08-28,80.781
1998-08-31,74.875
1998-09-01,78.531
1998-09-02,77.781
1998-09-03,77.031
1998-09-04,76.875
1998-09-08,80.594
1998-09-09,78.406
1998-09-10,75.750
1998-09-11,78.719
1998-09-14,79.406
1998-09-15,80.281
1998-09-16,81.125
1998-09-17,78.781
1998-09-18,78.812
1998-09-21,79.250
1998-09-22,78.859
1998-09-23,81.875
1998-09-24,79.766
1998-09-25,80.125
1998-09-28,81.281
1998-09-29,80.688
1998-09-30,78.188
1998-10-01,76.219
1998-10-02,78.156
1998-10-05,77.219
1998-10-06,77.188
1998-10-07,77.344
1998-10-08,77.312
1998-10-09,79.188
1998-10-12,79.781
1998-10-13,79.172
1998-10-14,79.688
1998-10-15,83.875
1998-10-16,84.188
1998-10-19,84.625
1998-10-20,84.891
1998-10-21,85.062
1998-10-22,85.562
1998-10-23,84.312
1998-10-26,84.375
1998-10-27,83.719
1998-10-28,83.453
1998-10-29,85.438
1998-10-30,86.031
1998-11-02,87.469
1998-11-03,87.000
1998-11-04,88.234
1998-11-05,89.500
1998-11-06,89.875
1998-11-09,89.016
1998-11-10,88.625
1998-11-11,88.359
1998-11-12,88.625
1998-11-13,89.500
1998-11-16,90.344
1998-11-17,89.969
1998-11-18,90.672
1998-11-19,90.750
1998-11-20,91.719
1998-11-23,94.094
1998-11-24,93.094
1998-11-25,93.125
1998-11-27,93.250
1998-11-30,90.812
1998-12-01,91.266
1998-12-02,90.750
1998-12-03,88.828
1998-12-04,90.500
1998-12-07,90.750
1998-12-08,90.312
1998-12-09,90.062
1998-12-10,88.281
1998-12-11,87.969
1998-12-14,86.516
1998-12-15,88.219
1998-12-16,87.875
1998-12-17,88.719
1998-12-18,88.719
1998-12-21,89.812
