cdate,cp
1986-03-13,28.000
1986-03-14,29.000
1986-03-17,29.500
1986-03-18,28.750
1986-03-19,28.250
1986-03-20,27.500
1986-03-21,26.750
1986-03-24,26.000
1986-03-25,26.500
1986-03-26,27.250
1986-03-27,27.750
1986-03-31,27.500
1986-04-01,27.250
1986-04-02,27.500
1986-04-03,27.750
1986-04-04,27.750
1986-04-07,27.250
1986-04-08,27.500
1986-04-09,28.000
1986-04-10,28.250
1986-04-11,28.750
1986-04-14,29.000
1986-04-15,29.000
1986-04-16,30.000
1986-04-17,30.250
1986-04-18,29.250
1986-04-21,29.250
1986-04-22,28.750
1986-04-23,28.875
1986-04-24,31.750
1986-04-25,33.750
1986-04-28,34.000
1986-04-29,33.000
1986-04-30,32.250
1986-05-01,31.750
1986-05-02,31.750
1986-05-05,31.500
1986-05-06,31.750
1986-05-07,31.750
1986-05-08,32.000
1986-05-09,31.750
1986-05-12,32.000
1986-05-13,32.250
1986-05-14,32.000
1986-05-15,32.000
1986-05-16,32.250
1986-05-19,31.750
1986-05-20,31.500
1986-05-21,31.000
1986-05-22,31.000
1986-05-23,31.000
1986-05-27,32.000
1986-05-28,33.000
1986-05-29,33.750
1986-05-30,35.000
1986-06-02,34.000
1986-06-03,34.000
1986-06-04,33.750
1986-06-05,34.250
1986-06-06,34.250
1986-06-09,32.750
1986-06-10,32.750
1986-06-11,32.750
1986-06-12,31.500
1986-06-13,31.500
1986-06-16,31.250
1986-06-17,31.750
1986-06-18,31.500
1986-06-19,31.250
1986-06-20,31.375
1986-06-23,31.750
1986-06-24,31.500
1986-06-25,31.000
1986-06-26,30.000
1986-06-27,29.750
1986-06-30,30.750
1986-07-01,30.750
1986-07-02,30.750
1986-07-03,31.250
1986-07-07,30.000
1986-07-08,29.250
1986-07-09,28.000
1986-07-10,27.250
1986-07-11,28.000
1986-07-14,27.625
1986-07-15,28.000
1986-07-16,29.000
1986-07-17,29.500
1986-07-18,29.750
1986-07-21,29.750
1986-07-22,30.750
1986-07-23,30.000
1986-07-24,31.000
1986-07-25,31.250
1986-07-28,30.500
1986-07-29,29.750
1986-07-30,28.750
1986-07-31,28.500
1986-08-01,28.250
1986-08-04,28.250
1986-08-05,28.000
1986-08-06,27.750
1986-08-07,27.500
1986-08-08,27.750
1986-08-11,28.750
1986-08-12,29.500
1986-08-13,29.750
1986-08-14,30.500
1986-08-15,30.625
1986-08-18,30.250
1986-08-19,30.250
1986-08-20,30.000
1986-08-21,30.000
1986-08-22,29.500
1986-08-25,29.500
1986-08-26,29.250
1986-08-27,29.250
1986-08-28,29.250
1986-08-29,28.500
1986-09-02,27.750
1986-09-03,27.000
1986-09-04,29.250
1986-09-05,30.500
1986-09-08,30.250
1986-09-09,30.750
1986-09-10,30.250
1986-09-11,29.000
1986-09-12,28.250
1986-09-15,28.750
1986-09-16,28.750
1986-09-17,29.500
1986-09-18,29.750
1986-09-19,29.750
1986-09-22,29.500
1986-09-23,30.000
1986-09-24,29.625
1986-09-25,29.000
1986-09-26,29.000
1986-09-29,28.250
1986-09-30,28.250
1986-10-01,28.000
1986-10-02,28.000
1986-10-03,28.250
1986-10-06,30.500
1986-10-07,31.125
1986-10-08,32.000
1986-10-09,33.000
1986-10-10,34.500
1986-10-13,33.000
1986-10-14,33.500
1986-10-15,35.000
1986-10-16,35.000
1986-10-17,36.000
1986-10-20,36.250
1986-10-21,37.750
1986-10-22,37.750
1986-10-23,37.750
1986-10-24,37.500
1986-10-27,38.750
1986-10-28,39.625
1986-10-29,38.500
1986-10-30,39.250
1986-10-31,38.750
1986-11-03,39.500
1986-11-04,41.000
1986-11-05,43.500
1986-11-06,44.500
1986-11-07,44.250
1986-11-10,42.500
1986-11-11,42.750
1986-11-12,42.750
1986-11-13,42.125
1986-11-14,42.500
1986-11-17,42.750
1986-11-18,40.500
1986-11-19,42.000
1986-11-20,45.250
1986-11-21,46.750
1986-11-24,50.500
1986-11-25,51.000
1986-11-26,50.500
1986-11-28,49.750
1986-12-01,48.750
1986-12-02,49.000
1986-12-03,48.625
1986-12-04,49.250
1986-12-05,49.000
1986-12-08,48.500
1986-12-09,48.250
1986-12-10,48.625
1986-12-11,49.000
1986-12-12,47.250
1986-12-15,46.000
1986-12-16,46.500
1986-12-17,47.000
1986-12-18,47.375
1986-12-19,48.500
1986-12-22,49.000
1986-12-23,49.500
1986-12-24,49.375
1986-12-26,49.250
1986-12-29,47.250
1986-12-30,47.750
1986-12-31,48.250
1987-01-02,47.750
1987-01-05,50.500
1987-01-06,51.250
1987-01-07,54.000
1987-01-08,55.750
1987-01-09,58.000
1987-01-12,61.750
1987-01-13,60.000
1987-01-14,60.000
1987-01-15,63.250
1987-01-16,61.750
1987-01-19,64.000
1987-01-20,65.000
1987-01-21,67.750
1987-01-22,74.500
1987-01-23,67.500
1987-01-26,68.750
1987-01-27,71.500
1987-01-28,71.750
1987-01-29,68.750
1987-01-30,73.125
1987-02-02,73.000
1987-02-03,71.750
1987-02-04,72.000
1987-02-05,71.500
1987-02-06,68.875
1987-02-09,68.250
1987-02-10,68.500
1987-02-11,71.750
1987-02-12,76.750
1987-02-13,76.000
1987-02-17,76.500
1987-02-18,71.750
1987-02-19,68.750
1987-02-20,68.000
1987-02-23,72.250
1987-02-24,75.750
1987-02-25,74.500
1987-02-26,77.250
1987-02-27,76.750
1987-03-02,74.500
1987-03-03,74.500
1987-03-04,79.750
1987-03-05,83.500
1987-03-06,83.250
1987-03-09,81.750
1987-03-10,84.250
1987-03-11,85.500
1987-03-12,85.875
1987-03-13,82.750
1987-03-16,82.250
1987-03-17,85.000
1987-03-18,89.500
1987-03-19,91.250
1987-03-20,90.250
1987-03-23,89.625
1987-03-24,90.250
1987-03-25,89.875
1987-03-26,89.250
1987-03-27,91.750
1987-03-30,96.750
1987-03-31,96.750
1987-04-01,91.000
1987-04-02,95.000
1987-04-03,99.750
1987-04-06,99.250
1987-04-07,94.000
1987-04-08,96.750
1987-04-09,95.000
1987-04-10,95.625
1987-04-13,92.500
1987-04-14,94.000
1987-04-15,96.000
1987-04-16,98.500
1987-04-20,95.750
1987-04-21,97.250
1987-04-22,98.500
1987-04-23,98.500
1987-04-24,99.000
1987-04-27,99.000
1987-04-28,106.250
1987-04-29,103.250
1987-04-30,104.000
1987-05-01,105.000
1987-05-04,107.000
1987-05-05,115.750
1987-05-06,113.000
1987-05-07,118.250
1987-05-08,126.500
1987-05-11,123.000
1987-05-12,118.750
1987-05-13,121.750
1987-05-14,122.750
1987-05-15,119.250
1987-05-18,115.250
1987-05-19,111.250
1987-05-20,109.500
1987-05-21,111.500
1987-05-22,108.250
1987-05-26,109.500
1987-05-27,109.500
1987-05-28,116.250
1987-05-29,115.250
1987-06-01,113.000
1987-06-02,112.500
1987-06-03,113.250
1987-06-04,112.500
1987-06-05,109.250
1987-06-08,109.750
1987-06-09,109.000
1987-06-10,103.500
1987-06-11,97.500
1987-06-12,98.250
1987-06-15,98.250
1987-06-16,100.250
1987-06-17,103.750
1987-06-18,104.875
1987-06-19,104.500
1987-06-22,103.750
1987-06-23,102.750
1987-06-24,104.750
1987-06-25,104.500
1987-06-26,104.750
1987-06-29,104.250
1987-06-30,102.000
1987-07-01,102.500
1987-07-02,100.000
1987-07-06,97.500
1987-07-07,90.250
1987-07-08,93.250
1987-07-09,95.750
1987-07-10,97.000
1987-07-13,99.250
1987-07-14,105.000
1987-07-15,102.250
1987-07-16,102.000
1987-07-17,102.250
