cdate,cp
1999-03-10,102.125
1999-03-11,102.625
1999-03-12,100.125
1999-03-15,103.000
1999-03-16,103.875
1999-03-17,103.125
1999-03-18,105.125
1999-03-19,102.438
1999-03-22,101.188
1999-03-23,97.625
1999-03-24,100.938
1999-03-25,104.625
1999-03-26,103.500
1999-03-29,107.250
1999-03-30,106.500
1999-03-31,104.938
1999-04-01,107.125
1999-04-05,111.000
1999-04-06,111.219
1999-04-07,110.062
1999-04-08,110.938
1999-04-09,111.625
1999-04-12,110.875
1999-04-13,109.375
1999-04-14,105.625
1999-04-15,107.062
1999-04-16,103.938
1999-04-19,99.062
1999-04-20,101.312
1999-04-21,106.312
1999-04-22,109.188
1999-04-23,110.625
1999-04-26,113.172
1999-04-27,111.438
1999-04-28,107.625
1999-04-29,106.750
1999-04-30,107.438
1999-05-03,106.875
1999-05-04,105.188
1999-05-05,108.375
1999-05-06,104.438
1999-05-07,105.938
1999-05-10,107.000
1999-05-11,108.688
1999-05-12,110.938
1999-05-13,108.875
1999-05-14,106.812
1999-05-17,108.734
1999-05-18,108.250
1999-05-19,109.750
1999-05-20,106.734
1999-05-21,105.750
1999-05-24,103.062
1999-05-25,99.688
1999-05-26,102.469
1999-05-27,102.375
1999-05-28,104.062
1999-06-01,101.750
1999-06-02,103.469
1999-06-03,102.000
1999-06-04,105.125
1999-06-07,107.312
1999-06-08,104.625
1999-06-09,106.375
1999-06-10,105.156
1999-06-11,103.562
1999-06-14,101.609
1999-06-15,103.125
1999-06-16,108.422
1999-06-17,109.625
1999-06-18,110.125
1999-06-21,113.422
1999-06-22,110.000
1999-06-23,111.734
1999-06-24,109.516
1999-06-25,109.375
1999-06-28,111.969
1999-06-29,113.500
1999-06-30,115.250
1999-07-01,116.031
1999-07-02,117.500
1999-07-06,116.750
1999-07-07,116.938
1999-07-08,118.500
1999-07-09,119.688
1999-07-12,119.062
1999-07-13,118.500
1999-07-14,120.516
1999-07-15,121.625
1999-07-16,122.750
1999-07-19,121.500
1999-07-20,116.812
1999-07-21,117.375
1999-07-22,114.391
1999-07-23,114.562
1999-07-26,111.750
1999-07-27,114.000
1999-07-28,116.234
1999-07-29,113.750
1999-07-30,113.188
1999-08-02,112.875
1999-08-03,112.141
1999-08-04,110.109
1999-08-05,111.859
1999-08-06,110.656
1999-08-09,109.234
1999-08-10,108.250
1999-08-11,111.812
1999-08-12,110.500
1999-08-13,115.312
1999-08-16,116.234
1999-08-17,116.812
1999-08-18,115.500
1999-08-19,114.125
1999-08-20,115.938
1999-08-23,119.625
1999-08-24,120.438
1999-08-25,123.000
1999-08-26,120.953
1999-08-27,119.750
1999-08-30,118.062
1999-08-31,119.375
1999-09-01,120.234
1999-09-02,119.812
1999-09-03,125.312
1999-09-07,124.750
1999-09-08,123.062
1999-09-09,124.812
1999-09-10,126.250
1999-09-13,124.734
1999-09-14,125.422
1999-09-15,123.000
1999-09-16,122.938
1999-09-17,126.625
1999-09-20,126.922
1999-09-21,123.875
1999-09-22,125.188
1999-09-23,120.000
1999-09-24,120.156
1999-09-27,121.000
1999-09-28,121.562
1999-09-29,119.125
1999-09-30,120.375
1999-10-01,120.422
1999-10-04,123.125
1999-10-05,124.000
1999-10-06,126.484
1999-10-07,126.188
1999-10-08,127.516
1999-10-11,129.312
1999-10-12,126.375
1999-10-13,122.625
1999-10-14,123.391
1999-10-15,119.750
1999-10-18,118.234
1999-10-19,118.875
1999-10-20,122.500
1999-10-21,124.500
1999-10-22,123.938
1999-10-25,124.000
1999-10-26,123.000
1999-10-27,122.812
1999-10-28,127.062
1999-10-29,131.500
1999-11-01,130.812
1999-11-02,130.891
1999-11-03,133.500
1999-11-04,135.000
1999-11-05,136.375
1999-11-08,139.125
1999-11-09,138.188
1999-11-10,140.000
1999-11-11,142.500
1999-11-12,144.375
1999-11-15,144.094
1999-11-16,147.750
1999-11-17,145.750
1999-11-18,150.219
1999-11-19,151.562
1999-11-22,149.250
1999-11-23,149.938
1999-11-24,154.875
1999-11-26,155.375
1999-11-29,152.812
1999-11-30,147.000
1999-12-01,150.188
1999-12-02,154.953
1999-12-03,158.250
1999-12-06,159.688
1999-12-07,159.688
1999-12-08,157.750
1999-12-09,158.500
1999-12-10,159.812
1999-12-13,161.984
1999-12-14,159.062
1999-12-15,162.125
1999-12-16,166.125
1999-12-17,167.562
1999-12-20,169.750
1999-12-21,178.875
1999-12-22,178.312
1999-12-23,180.438
1999-12-27,179.375
1999-12-28,178.250
1999-12-29,185.000
1999-12-30,183.000
1999-12-31,182.750
2000-01-03,189.500
2000-01-04,176.500
2000-01-05,172.000
2000-01-06,160.188
2000-01-07,180.000
2000-01-10,185.000
2000-01-11,176.000
2000-01-12,172.125
2000-01-13,182.500
2000-01-14,186.750
2000-01-18,187.750
2000-01-19,192.000
2000-01-20,190.125
2000-01-21,192.500
