cdate,cp
1970-01-02,62.000
1970-01-05,63.000
1970-01-06,62.875
1970-01-07,62.500
1970-01-08,62.625
1970-01-09,62.875
1970-01-12,62.375
1970-01-13,62.125
1970-01-14,62.250
1970-01-15,61.625
1970-01-16,61.875
1970-01-19,61.875
1970-01-20,61.625
1970-01-21,61.500
1970-01-22,61.125
1970-01-23,60.250
1970-01-26,60.375
1970-01-27,60.000
1970-01-28,58.125
1970-01-29,56.875
1970-01-30,56.375
1970-02-02,56.000
1970-02-03,57.125
1970-02-04,57.000
1970-02-05,56.875
1970-02-06,55.500
1970-02-09,55.250
1970-02-10,53.250
1970-02-11,53.625
1970-02-12,52.250
1970-02-13,52.000
1970-02-16,50.375
1970-02-17,50.125
1970-02-18,52.875
1970-02-19,53.625
1970-02-20,55.125
1970-02-24,54.875
1970-02-25,55.750
1970-02-26,54.125
1970-02-27,54.000
1970-03-02,53.500
1970-03-03,53.250
1970-03-04,53.500
1970-03-05,54.000
1970-03-06,53.500
1970-03-09,52.875
1970-03-10,53.875
1970-03-11,54.875
1970-03-12,54.625
1970-03-13,54.625
1970-03-16,54.500
1970-03-17,54.500
1970-03-18,55.000
1970-03-19,55.000
1970-03-20,55.250
1970-03-23,55.125
1970-03-24,56.000
1970-03-25,57.250
1970-03-26,57.375
1970-03-30,57.750
1970-03-31,57.250
1970-04-01,57.500
1970-04-02,57.500
1970-04-03,57.750
1970-04-06,57.375
1970-04-07,56.250
1970-04-08,56.250
1970-04-09,56.500
1970-04-10,56.000
1970-04-13,55.875
1970-04-14,55.875
1970-04-15,56.000
1970-04-16,55.250
1970-04-17,54.125
1970-04-20,53.750
1970-04-21,54.250
1970-04-22,54.500
1970-04-23,54.500
1970-04-24,54.375
1970-04-27,53.750
1970-04-28,53.625
1970-04-29,54.000
1970-04-30,53.625
1970-05-01,54.000
1970-05-04,53.750
1970-05-05,53.750
1970-05-06,54.375
1970-05-07,53.500
1970-05-08,53.000
1970-05-11,52.750
1970-05-12,52.500
1970-05-13,51.625
1970-05-14,51.875
1970-05-15,53.500
1970-05-18,54.000
1970-05-19,52.875
1970-05-20,52.750
1970-05-21,52.500
1970-05-22,52.625
1970-05-25,51.250
1970-05-26,51.375
1970-05-27,53.250
1970-05-28,55.250
1970-05-29,56.750
1970-06-01,56.875
1970-06-02,56.875
1970-06-03,56.875
1970-06-04,55.625
1970-06-05,54.500
1970-06-08,54.375
1970-06-09,54.500
1970-06-10,54.125
1970-06-11,54.125
1970-06-12,54.375
1970-06-15,54.500
