cdate,cp
2004-08-19,100.340
2004-08-20,108.310
2004-08-23,109.400
2004-08-24,104.870
2004-08-25,106.000
2004-08-26,107.910
2004-08-27,106.150
2004-08-30,102.010
2004-08-31,102.370
2004-09-01,100.250
2004-09-02,101.510
2004-09-03,100.010
2004-09-07,101.580
2004-09-08,102.300
2004-09-09,102.310
2004-09-10,105.330
2004-09-13,107.500
2004-09-14,111.490
2004-09-15,112.000
2004-09-16,113.970
2004-09-17,117.490
2004-09-20,119.360
2004-09-21,117.840
2004-09-22,118.380
2004-09-23,120.820
2004-09-24,119.830
2004-09-27,118.260
2004-09-28,126.860
2004-09-29,131.080
2004-09-30,129.600
2004-10-01,132.580
2004-10-04,135.060
2004-10-05,138.370
2004-10-06,137.080
2004-10-07,138.850
2004-10-08,137.730
2004-10-11,135.260
2004-10-12,137.400
2004-10-13,140.900
2004-10-14,142.000
2004-10-15,144.110
2004-10-18,149.160
2004-10-19,147.940
2004-10-20,140.490
2004-10-21,149.380
2004-10-22,172.430
2004-10-25,187.400
2004-10-26,181.800
2004-10-27,185.970
2004-10-28,193.300
2004-10-29,190.640
2004-11-01,196.030
2004-11-02,194.870
2004-11-03,191.670
2004-11-04,184.700
2004-11-05,169.350
2004-11-08,172.550
2004-11-09,168.700
2004-11-10,167.860
2004-11-11,183.020
2004-11-12,182.000
2004-11-15,184.870
2004-11-16,172.540
2004-11-17,172.500
2004-11-18,167.540
2004-11-19,169.400
2004-11-22,165.100
2004-11-23,167.520
2004-11-24,174.760
2004-11-26,179.390
2004-11-29,181.050
2004-11-30,181.980
2004-12-01,179.960
2004-12-02,179.400
2004-12-03,180.400
2004-12-06,176.290
2004-12-07,171.430
2004-12-08,169.980
2004-12-09,173.430
2004-12-10,171.650
2004-12-13,170.450
2004-12-14,178.690
2004-12-15,179.780
2004-12-16,176.470
2004-12-17,180.080
2004-12-20,185.020
2004-12-21,183.750
2004-12-22,186.300
2004-12-23,187.900
2004-12-27,191.910
2004-12-28,192.760
2004-12-29,192.900
2004-12-30,197.600
2004-12-31,192.790
2005-01-03,202.710
2005-01-04,194.500
2005-01-05,193.510
2005-01-06,188.550
2005-01-07,193.850
2005-01-10,195.060
2005-01-11,193.540
2005-01-12,195.380
2005-01-13,195.330
2005-01-14,199.970
2005-01-18,203.900
2005-01-19,197.300
2005-01-20,193.920
2005-01-21,188.280
2005-01-24,180.720
2005-01-25,177.120
2005-01-26,189.240
2005-01-27,188.080
2005-01-28,190.340
2005-01-31,195.620
2005-02-01,191.900
2005-02-02,205.960
2005-02-03,210.860
2005-02-04,204.360
2005-02-07,196.030
2005-02-08,198.640
2005-02-09,191.580
2005-02-10,187.980
2005-02-11,187.400
2005-02-14,192.990
2005-02-15,195.230
2005-02-16,198.410
2005-02-17,197.900
2005-02-18,197.950
2005-02-22,191.370
2005-02-23,193.950
2005-02-24,188.890
2005-02-25,185.870
2005-02-28,187.990
2005-03-01,186.060
2005-03-02,185.180
2005-03-03,187.010
2005-03-04,185.900
2005-03-07,188.810
2005-03-08,185.200
2005-03-09,181.350
2005-03-10,179.980
2005-03-11,177.800
2005-03-14,174.990
2005-03-15,178.610
2005-03-16,175.600
2005-03-17,179.290
2005-03-18,180.040
2005-03-21,180.880
2005-03-22,178.600
2005-03-23,178.980
2005-03-24,179.250
2005-03-28,181.420
2005-03-29,179.570
2005-03-30,180.450
2005-03-31,180.510
2005-04-01,180.040
2005-04-04,185.290
2005-04-05,188.570
2005-04-06,189.220
2005-04-07,193.760
2005-04-08,192.050
2005-04-11,193.230
2005-04-12,193.960
2005-04-13,192.930
2005-04-14,191.450
2005-04-15,185.000
2005-04-18,186.970
2005-04-19,191.400
2005-04-20,198.100
2005-04-21,204.220
2005-04-22,215.810
2005-04-25,223.530
2005-04-26,218.750
2005-04-27,219.780
2005-04-28,219.450
2005-04-29,220.000
2005-05-02,222.290
2005-05-03,226.190
2005-05-04,228.500
2005-05-05,226.980
2005-05-06,228.020
2005-05-09,226.020
2005-05-10,227.800
2005-05-11,231.290
2005-05-12,228.720
2005-05-13,229.240
2005-05-16,231.050
2005-05-17,233.130
2005-05-18,239.160
2005-05-19,239.180
2005-05-20,241.610
2005-05-23,255.450
2005-05-24,256.000
2005-05-25,260.810
2005-05-26,259.200
2005-05-27,266.000
2005-05-31,277.270
2005-06-01,288.000
2005-06-02,287.901
2005-06-03,280.260
2005-06-06,290.940
2005-06-07,293.121
2005-06-08,279.560
2005-06-09,286.310
2005-06-10,282.500
2005-06-13,282.750
2005-06-14,278.350
2005-06-15,274.800
2005-06-16,277.440
2005-06-17,280.300
2005-06-20,286.700
2005-06-21,287.840
2005-06-22,289.301
2005-06-23,289.710
2005-06-24,297.250
2005-06-27,304.101
2005-06-28,302.001
2005-06-29,292.721
2005-06-30,294.151
2005-07-01,291.251
2005-07-05,295.711
2005-07-06,291.521
2005-07-07,295.540
2005-07-08,296.231
2005-07-11,293.350
2005-07-12,291.781
2005-07-13,298.861
2005-07-14,300.891
2005-07-15,301.191
2005-07-18,299.541
2005-07-19,309.901
2005-07-20,312.001
2005-07-21,313.941
2005-07-22,302.401
2005-07-25,295.850
2005-07-26,296.090
2005-07-27,296.931
2005-07-28,293.500
2005-07-29,287.760
2005-08-01,291.611
2005-08-02,299.191
2005-08-03,297.301
2005-08-04,297.731
2005-08-05,292.351
2005-08-08,291.251
2005-08-09,291.570
2005-08-10,285.680
2005-08-11,284.050
2005-08-12,289.721
2005-08-15,284.000
2005-08-16,285.650
2005-08-17,285.100
2005-08-18,279.990
2005-08-19,280.000
2005-08-22,274.010
2005-08-23,279.580
2005-08-24,282.570
2005-08-25,282.590
2005-08-26,283.580
2005-08-29,288.451
2005-08-30,287.270
2005-08-31,286.000
2005-09-01,286.250
2005-09-02,288.451
2005-09-06,287.111
2005-09-07,294.871
2005-09-08,295.390
2005-09-09,299.091
2005-09-12,309.741
2005-09-13,311.681
2005-09-14,303.001
2005-09-15,302.621
2005-09-16,300.201
2005-09-19,303.791
2005-09-20,307.911
2005-09-21,311.901
2005-09-22,311.371
2005-09-23,315.361
2005-09-26,314.281
2005-09-27,313.941
2005-09-28,306.001
2005-09-29,309.621
2005-09-30,316.461
2005-10-03,318.681
2005-10-04,311.001
2005-10-05,310.711
2005-10-06,312.751
2005-10-07,312.991
2005-10-10,310.651
2005-10-11,306.101
2005-10-12,300.971
2005-10-13,297.441
2005-10-14,296.141
2005-10-17,305.001
2005-10-18,303.281
2005-10-19,308.701
2005-10-20,303.201
2005-10-21,339.901
2005-10-24,348.651
2005-10-25,346.911
2005-10-26,355.441
2005-10-27,353.061
2005-10-28,358.171
2005-10-31,372.141
2005-11-01,379.381
2005-11-02,379.681
2005-11-03,385.951
2005-11-04,390.431
2005-11-07,395.031
2005-11-08,389.901
2005-11-09,379.151
2005-11-10,391.101
2005-11-11,390.401
2005-11-14,396.971
2005-11-15,392.801
2005-11-16,398.151
2005-11-17,403.451
2005-11-18,400.211
2005-11-21,409.361
2005-11-22,416.471
2005-11-23,422.861
2005-11-25,428.621
